,player_name,position,games,at_bats,runs,hits,doubles,triples,home_runs,RBI,walks,strikeouts,stolen base ,caught_stealing,AVG,on_base_%,slugging_%,OPS
0,B Bonds,LF,2986.0,9847.0,2227.0,2935.0,601.0,77.0,762.0,1996.0,2558.0,1539,514.0,141,0.298,0.444,0.607,1.051
1,H Aaron,RF,3298.0,12364.0,2174.0,3771.0,624.0,98.0,755.0,2297.0,1402.0,1383,240.0,73,0.305,0.374,0.555,0.929
2,B Ruth,RF,2504.0,8399.0,2174.0,2873.0,506.0,136.0,714.0,2213.0,2062.0,1330,123.0,117,0.342,0.474,0.69,1.164
3,A Pujols,1B,3080.0,11421.0,1914.0,3384.0,686.0,16.0,703.0,2218.0,1373.0,1404,117.0,43,0.296,0.374,0.544,0.918
4,A Rodriguez,SS,2784.0,10566.0,2021.0,3115.0,548.0,31.0,696.0,2086.0,1338.0,2287,329.0,76,0.295,0.38,0.55,0.93
5,W Mays,CF,2992.0,10881.0,2062.0,3283.0,523.0,140.0,660.0,1903.0,1464.0,1526,338.0,103,0.302,0.384,0.557,0.941
6,K Griffey,CF,2671.0,9801.0,1662.0,2781.0,524.0,38.0,630.0,1836.0,1312.0,1779,184.0,69,0.284,0.37,0.538,0.908
7,J Thome,1B,2543.0,8422.0,1583.0,2328.0,451.0,26.0,612.0,1699.0,1747.0,2548,19.0,20,0.276,0.402,0.554,0.956
8,S Sosa,RF,2354.0,8813.0,1475.0,2408.0,379.0,45.0,609.0,1667.0,929.0,2306,234.0,107,0.273,0.344,0.534,0.878
9,F Robinson,RF,2808.0,10006.0,1829.0,2943.0,528.0,72.0,586.0,1812.0,1420.0,1532,204.0,77,0.294,0.389,0.537,0.926
10,M McGwire,1B,1874.0,6187.0,1167.0,1626.0,252.0,6.0,583.0,1414.0,1317.0,1596,12.0,8,0.263,0.394,0.588,0.982
11,H Killebrew,1B,2435.0,8147.0,1283.0,2086.0,290.0,24.0,573.0,1584.0,1559.0,1699,19.0,18,0.256,0.376,0.509,0.885
12,R Palmeiro,1B,2831.0,10472.0,1663.0,3020.0,585.0,38.0,569.0,1834.0,1353.0,1348,97.0,40,0.288,0.371,0.515,0.886
13,R Jackson,RF,2820.0,9864.0,1551.0,2584.0,463.0,49.0,563.0,1702.0,1375.0,2597,228.0,115,0.262,0.356,0.49,0.846
14,M Ramirez,LF,2302.0,8244.0,1544.0,2574.0,547.0,20.0,555.0,1831.0,1329.0,1813,38.0,33,0.312,0.411,0.585,0.996
15,M Schmidt,3B,2404.0,8352.0,1506.0,2234.0,408.0,59.0,548.0,1595.0,1507.0,1883,174.0,91,0.267,0.38,0.527,0.907
16,D Ortiz,DH,2408.0,8640.0,1419.0,2472.0,632.0,19.0,541.0,1768.0,1319.0,1750,17.0,9,0.286,0.38,0.552,0.932
17,M Mantle,CF,2401.0,8102.0,1677.0,2415.0,344.0,72.0,536.0,1509.0,1733.0,1710,153.0,38,0.298,0.421,0.557,0.978
18,J Foxx,1B,2317.0,8134.0,1751.0,2646.0,458.0,125.0,534.0,1922.0,1452.0,1311,87.0,72,0.325,0.428,0.609,1.037
19,W McCovey,1B,2588.0,8197.0,1229.0,2211.0,353.0,46.0,521.0,1555.0,1345.0,1550,26.0,22,0.27,0.374,0.515,0.889
20,F Thomas,DH,2322.0,8199.0,1494.0,2468.0,495.0,12.0,521.0,1704.0,1667.0,1397,32.0,23,0.301,0.419,0.555,0.974
21,T Williams,LF,2292.0,7706.0,1798.0,2654.0,525.0,71.0,521.0,1839.0,2019.0,709,24.0,17,0.344,0.482,0.634,1.116
22,E Banks,1B,2528.0,9421.0,1305.0,2583.0,407.0,90.0,512.0,1636.0,763.0,1236,50.0,53,0.274,0.33,0.5,0.83
23,E Mathews,3B,2391.0,8537.0,1509.0,2315.0,354.0,72.0,512.0,1453.0,1444.0,1487,68.0,39,0.271,0.376,0.509,0.885
24,M Ott,RF,2730.0,9456.0,1859.0,2876.0,488.0,72.0,511.0,1860.0,1708.0,896,89.0,--,0.304,0.414,0.533,0.947
25,G Sheffield,RF,2576.0,9217.0,1636.0,2689.0,467.0,27.0,509.0,1676.0,1475.0,1171,253.0,104,0.292,0.393,0.514,0.907
